Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,642810000.0,642.81M,-,3.96,7.16,1478472
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,924700000.0,924.70M,26.89,10.97,-0.9,158216
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,,-,-,33.5,4.88,19248
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,68910000.0,68.91M,-,0.83,2.16,274337
ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,72040000.0,72.04M,10.14,28.8,0.7,9021
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33780000000.0,33.78B,9.35,90.5,-0.26,902101
ACGR,American Century Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,,-,-,65.35,0.22,12
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2270000000.0,2.27B,16.19,24.57,-0.77,1651741
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,6360000000.0,6.36B,-,9.86,2.97,47215209
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,158940000.0,158.94M,-,3.11,-1.27,585114
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,9700000000.0,9.70B,10.57,17.33,-1.0,4335333
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,545440000.0,545.44M,6.78,11.18,-1.8,117820
ACII,Innovator Index Autocallable Income Strategy ETF,Financial,Exchange Traded Fund,USA,,-,-,25.1,-0.06,5559
ACIO,Aptus Collared Investment Opportunity ETF,Financial,Exchange Traded Fund,USA,,-,-,43.6,0.38,134427
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,298810000.0,298.81M,-,3.02,4.5,142705
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,5440000000.0,5.44B,22.30,52.68,-0.17,453282
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,Financial,Exchange Traded Fund,USA,,-,-,19.98,0.05,109627
ACLC,American Century Large Cap Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,77.58,0.46,4587
ACLO,TCW AAA CLO ETF,Financial,Exchange Traded Fund,USA,,-,-,50.32,-0.28,2478
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2970000000.0,2.97B,19.35,94.63,-3.08,2261076
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,4550000000.0,4.55B,-,82.09,-0.01,348148
ACM,AECOM,Industrials,Engineering & Construction,USA,17330000000.0,17.33B,26.61,130.83,0.28,397217
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,2810000000.0,2.81B,26.55,43.76,11.82,2006901
ACN,Accenture plc,Technology,Information Technology Services,Ireland,151330000000.0,151.33B,19.99,242.96,-1.47,4709718
ACNB,ACNB Corp,Financial,Banks - Regional,USA,457120000.0,457.12M,16.19,43.67,-0.84,10382
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,119350000.0,119.35M,-,12.74,-1.09,92194
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,USA,119190000.0,119.19M,-,7.38,13.29,244109
