Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
ACII,Innovator Index Autocallable Income Strategy ETF,Financial,Exchange Traded Fund,USA,,-,-,25.08,-0.26,899
ACIO,Aptus Collared Investment Opportunity ETF,Financial,Exchange Traded Fund,USA,,-,-,43.32,0.06,75379
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,300790000.0,300.79M,-,3.04,7.04,222986
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,5400000000.0,5.40B,22.16,52.34,0.15,835654
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,Financial,Exchange Traded Fund,USA,,-,-,20.12,-0.79,141599
ACLC,American Century Large Cap Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,76.91,0.21,2416
ACLO,TCW AAA CLO ETF,Financial,Exchange Traded Fund,USA,,-,-,50.46,0.03,267
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,3040000000.0,3.04B,19.77,96.7,-0.8,394785
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,4390000000.0,4.39B,-,79.11,-0.8,340123
ACM,AECOM,Industrials,Engineering & Construction,USA,17200000000.0,17.20B,26.41,129.87,0.48,769761
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,2480000000.0,2.48B,23.44,38.64,2.3,1928422
ACN,Accenture plc,Technology,Information Technology Services,Ireland,153840000000.0,153.84B,20.32,247.0,3.36,7711953
ACNB,ACNB Corp,Financial,Banks - Regional,USA,457440000.0,457.44M,16.20,43.7,-2.17,14430
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,118690000.0,118.69M,-,12.67,-0.47,25502
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,USA,106990000.0,106.99M,-,6.62,-6.5,98900
ACON,Aclarion Inc,Healthcare,Health Information Services,USA,4450000.0,4.45M,-,7.63,0.13,14477
